"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","20p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","5n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C11,D1","3","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C7,C8,C9,C10","5","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.5mm","~"
"J1","1","USB_B_Mini","","","","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"J2","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~"
"L1","1","10u","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","5600","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","5.6k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","22","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW3","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","~"
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","ATmega32U4-A","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
"U2","1","AD8603","","","","Package_TO_SOT_SMD:TSOT-23-5","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8603_8607_8609.pdf"
"Y1","1","16M","","","","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~"
